1603,2.06755,1.82183,260.669
1604,2.06820,1.82230,260.628
1605,2.06885,1.82278,260.587
1606,2.06950,1.82325,260.546
1607,2.07015,1.82373,260.506
1608,2.07080,1.82420,260.465
1609,2.07145,1.82468,260.424
1610,2.07210,1.82515,260.383
1611,2.07275,1.82563,260.343
1612,2.07340,1.82610,260.302
1613,2.07405,1.82658,260.261
1614,2.07470,1.82705,260.220
1615,2.07535,1.82753,260.180
1616,2.07600,1.82800,260.139
1617,2.07665,1.82848,260.098
1618,2.07730,1.82895,260.057
1619,2.07795,1.82943,260.017
1620,2.07860,1.82990,259.976
1621,2.07925,1.83038,259.935
1622,2.07990,1.83085,259.894
1623,2.08055,1.83133,259.854
1624,2.08120,1.83180,259.813
1625,2.08185,1.83228,259.772
1626,2.08250,1.83275,259.731
1627,2.08315,1.83323,259.691
1628,2.08380,1.83370,259.650
1629,2.08445,1.83418,259.609
1630,2.08510,1.83465,259.568
1631,2.08575,1.83513,259.528
1632,2.08640,1.83560,259.487
1633,2.08705,1.83608,259.446
1634,2.08770,1.83655,259.405
1635,2.08835,1.83703,259.365
1636,2.08900,1.83750,259.324
1637,2.08965,1.83798,259.283
1638,2.09030,1.83845,259.242
1639,2.09095,1.83893,259.202
1640,2.09160,1.83940,259.161
1641,2.09225,1.83988,259.120
1642,2.09290,1.84035,259.079
1643,2.09355,1.84083,259.039
1644,2.09420,1.84130,258.998
1645,2.09485,1.84178,258.957
1646,2.09550,1.84225,258.916
1647,2.09615,1.84273,258.876
1648,2.09680,1.84320,258.835
1649,2.09745,1.84368,258.794
1650,2.09810,1.84415,258.753
1651,2.09875,1.84463,258.713
1652,2.09940,1.84510,258.672
1653,2.10005,1.84558,258.631
1654,2.10070,1.84605,258.590
1655,2.10135,1.84653,258.550
1656,2.10200,1.84700,258.509
1657,2.10265,1.84748,258.468
1658,2.10330,1.84795,258.427
1659,2.10395,1.84843,258.387
1660,2.10460,1.84890,258.346
1661,2.10525,1.84938,258.305
1662,2.10590,1.84985,258.264
1663,2.10655,1.85033,258.224
1664,2.10720,1.85080,258.183
1665,2.10785,1.85128,258.142
1666,2.10850,1.85175,258.101
1667,2.10915,1.85223,258.061
1668,2.10980,1.85270,258.020
1669,2.11045,1.85318,257.979
1670,2.11110,1.85365,257.938
1671,2.11175,1.85413,257.898
1672,2.11240,1.85460,257.857
1673,2.11305,1.85508,257.816
1674,2.11370,1.85555,257.775
1675,2.11435,1.85603,257.735
1676,2.11500,1.85650,257.694
1677,2.11565,1.85698,257.653
1678,2.11630,1.85745,257.612
1679,2.11695,1.85793,257.572
1680,2.11760,1.85840,257.531
1681,2.11825,1.85888,257.490
1682,2.11890,1.85935,257.449
1683,2.11955,1.85983,257.409
1684,2.12020,1.86030,257.368
1685,2.12085,1.86078,257.327
1686,2.12150,1.86125,257.286
1687,2.12215,1.86173,257.246
1688,2.12280,1.86220,257.205
1689,2.12345,1.86268,257.164
1690,2.12410,1.86315,257.123
1691,2.12475,1.86363,257.083
1692,2.12540,1.86410,257.042
1693,2.12605,1.86458,257.001
1694,2.12670,1.86505,256.960
1695,2.12735,1.86553,256.920
1696,2.12800,1.86600,256.879
1697,2.12865,1.86648,256.838
1698,2.12930,1.86695,256.797
1699,2.12995,1.86743,256.757
1700,2.13060,1.86790,256.716
1701,2.13125,1.86838,256.675
1702,2.13190,1.86885,256.634
1703,2.13255,1.86933,256.594
1704,2.13320,1.86980,256.553
1705,2.13385,1.87028,256.512
1706,2.13450,1.87075,256.471
1707,2.13515,1.87123,256.431
1708,2.13580,1.87170,256.390
1709,2.13645,1.87218,256.349
1710,2.13710,1.87265,256.308
1711,2.13775,1.87313,256.268
1712,2.13840,1.87360,256.227
1713,2.13905,1.87408,256.186
1714,2.13970,1.87455,256.145
1715,2.14035,1.87503,256.105
1716,2.14100,1.87550,256.064
1717,2.14165,1.87598,256.023
1718,2.14230,1.87645,255.982
1719,2.14295,1.87693,255.942
1720,2.14360,1.87740,255.901
1721,2.14425,1.87788,255.860
1722,2.14490,1.87835,255.819
1723,2.14555,1.87883,255.779
1724,2.14620,1.87930,255.738
1725,2.14685,1.87978,255.697
1726,2.14750,1.88025,255.656
1727,2.14815,1.88073,255.616
1728,2.14880,1.88120,255.575
1729,2.14945,1.88168,255.534
1730,2.15010,1.88215,255.493
1731,2.15075,1.88263,255.453
1732,2.15140,1.88310,255.412
1733,2.15205,1.88358,255.371
1734,2.15270,1.88405,255.330
1735,2.15335,1.88453,255.290
1736,2.15400,1.88500,255.249
1737,2.15465,1.88548,255.208
1738,2.15530,1.88595,255.167
1739,2.15595,1.88643,255.127
1740,2.15660,1.88690,255.086
1741,2.15725,1.88738,255.045
1742,2.15790,1.88785,255.004
1743,2.15855,1.88833,254.964
1744,2.15920,1.88880,254.923
1745,2.15985,1.88928,254.882
1746,2.16050,1.88975,254.841
1747,2.16115,1.89023,254.801
1748,2.16180,1.89070,254.760
1749,2.16245,1.89118,254.719
1750,2.16310,1.89165,254.678
1751,2.16375,1.89213,254.638
1752,2.16440,1.89260,254.597
1753,2.16505,1.89308,254.556
1754,2.16570,1.89355,254.515
1755,2.16635,1.89403,254.475
1756,2.16700,1.89450,254.434
1757,2.16765,1.89498,254.393
1758,2.16830,1.89545,254.352
1759,2.16895,1.89593,254.312
1760,2.16960,1.89640,254.271
1761,2.17025,1.89688,254.230
1762,2.17090,1.89735,254.189
1763,2.17155,1.89783,254.149
1764,2.17220,1.89830,254.108
1765,2.17285,1.89878,254.067
1766,2.17350,1.89925,254.026
1767,2.17415,1.89973,253.986
1768,2.17480,1.90020,253.945
1769,2.17545,1.90068,253.904
1770,2.17610,1.90115,253.863
1771,2.17675,1.90163,253.823
1772,2.17740,1.90210,253.782
1773,2.17805,1.90258,253.741
1774,2.17870,1.90305,253.700
1775,2.17935,1.90353,253.660
1776,2.18000,1.90400,253.619
1777,2.18065,1.90448,253.578
1778,2.18130,1.90495,253.537
1779,2.18195,1.90543,253.497
1780,2.18260,1.90590,253.456
1781,2.18325,1.90638,253.415
